model=unet3d params=1.40M  train=800 val=100 global batch=8 (2 x 4 accum)  lr warmup 1e-06->1e-04 over 10 then cosine->1e-07  epochs=200 patience=20
epoch=116 train=0.14383 val=0.13555 IoU=0.7943 Dice=0.8854 P=0.875 R=0.896 lr=4.10e-05 64s
epoch=117 train=0.14380 val=0.13582 IoU=0.7909 Dice=0.8833 P=0.871 R=0.896 lr=4.02e-05 64s
epoch=118 train=0.14242 val=0.13534 IoU=0.7906 Dice=0.8830 P=0.872 R=0.894 lr=3.94e-05 64s
epoch=119 train=0.14241 val=0.13313 IoU=0.7956 Dice=0.8862 P=0.877 R=0.895 lr=3.86e-05 64s
epoch=120 train=0.14125 val=0.13340 IoU=0.7921 Dice=0.8840 P=0.873 R=0.895 lr=3.78e-05 64s
epoch=121 train=0.14082 val=0.13130 IoU=0.7966 Dice=0.8868 P=0.877 R=0.896 lr=3.70e-05 64s
epoch=122 train=0.13919 val=0.13135 IoU=0.7948 Dice=0.8857 P=0.878 R=0.894 lr=3.62e-05 64s
epoch=123 train=0.13813 val=0.13010 IoU=0.7970 Dice=0.8871 P=0.881 R=0.893 lr=3.54e-05 64s
epoch=124 train=0.13790 val=0.12963 IoU=0.7947 Dice=0.8856 P=0.871 R=0.900 lr=3.46e-05 64s
epoch=125 train=0.13706 val=0.12887 IoU=0.7970 Dice=0.8870 P=0.881 R=0.893 lr=3.38e-05 64s
epoch=126 train=0.13590 val=0.12779 IoU=0.7979 Dice=0.8876 P=0.879 R=0.897 lr=3.31e-05 64s
epoch=127 train=0.13593 val=0.12751 IoU=0.7959 Dice=0.8863 P=0.874 R=0.899 lr=3.23e-05 64s
epoch=128 train=0.13528 val=0.12657 IoU=0.7976 Dice=0.8874 P=0.876 R=0.899 lr=3.15e-05 64s
epoch=129 train=0.13444 val=0.12649 IoU=0.7958 Dice=0.8863 P=0.874 R=0.899 lr=3.07e-05 64s
epoch=130 train=0.13360 val=0.12522 IoU=0.7989 Dice=0.8882 P=0.880 R=0.897 lr=3.00e-05 64s
epoch=131 train=0.13417 val=0.12519 IoU=0.7958 Dice=0.8863 P=0.870 R=0.903 lr=2.92e-05 64s
epoch=132 train=0.13222 val=0.12404 IoU=0.7995 Dice=0.8886 P=0.878 R=0.899 lr=2.85e-05 64s
epoch=133 train=0.13229 val=0.12365 IoU=0.7985 Dice=0.8880 P=0.877 R=0.899 lr=2.77e-05 64s
epoch=134 train=0.13104 val=0.12313 IoU=0.7984 Dice=0.8879 P=0.875 R=0.901 lr=2.70e-05 64s
epoch=135 train=0.12982 val=0.12277 IoU=0.7997 Dice=0.8887 P=0.883 R=0.895 lr=2.63e-05 64s
epoch=136 train=0.13059 val=0.12220 IoU=0.7997 Dice=0.8887 P=0.881 R=0.896 lr=2.56e-05 64s
epoch=137 train=0.12961 val=0.12186 IoU=0.8006 Dice=0.8893 P=0.886 R=0.893 lr=2.48e-05 64s
epoch=138 train=0.12978 val=0.12114 IoU=0.8005 Dice=0.8892 P=0.880 R=0.898 lr=2.41e-05 64s
epoch=139 train=0.12827 val=0.12041 IoU=0.8014 Dice=0.8897 P=0.881 R=0.898 lr=2.34e-05 64s
epoch=140 train=0.12740 val=0.12027 IoU=0.8018 Dice=0.8900 P=0.885 R=0.895 lr=2.27e-05 64s
epoch=141 train=0.12777 val=0.11937 IoU=0.8022 Dice=0.8903 P=0.881 R=0.900 lr=2.20e-05 64s
epoch=142 train=0.12675 val=0.11926 IoU=0.8018 Dice=0.8900 P=0.882 R=0.898 lr=2.14e-05 64s
epoch=143 train=0.12700 val=0.11909 IoU=0.8014 Dice=0.8897 P=0.882 R=0.897 lr=2.07e-05 64s
epoch=144 train=0.12578 val=0.11858 IoU=0.8012 Dice=0.8896 P=0.879 R=0.901 lr=2.00e-05 64s
epoch=145 train=0.12534 val=0.11807 IoU=0.8020 Dice=0.8901 P=0.880 R=0.900 lr=1.94e-05 64s
epoch=146 train=0.12583 val=0.11781 IoU=0.8030 Dice=0.8907 P=0.886 R=0.896 lr=1.87e-05 64s
epoch=147 train=0.12418 val=0.11750 IoU=0.8025 Dice=0.8904 P=0.883 R=0.898 lr=1.81e-05 64s
epoch=148 train=0.12454 val=0.11710 IoU=0.8035 Dice=0.8911 P=0.886 R=0.896 lr=1.75e-05 64s
epoch=149 train=0.12505 val=0.11704 IoU=0.8034 Dice=0.8910 P=0.887 R=0.895 lr=1.68e-05 64s
epoch=150 train=0.12409 val=0.11635 IoU=0.8032 Dice=0.8909 P=0.883 R=0.899 lr=1.62e-05 64s
epoch=151 train=0.12316 val=0.11612 IoU=0.8038 Dice=0.8912 P=0.886 R=0.897 lr=1.56e-05 64s
epoch=152 train=0.12310 val=0.11575 IoU=0.8034 Dice=0.8910 P=0.882 R=0.901 lr=1.50e-05 64s
epoch=153 train=0.12276 val=0.11556 IoU=0.8035 Dice=0.8910 P=0.882 R=0.901 lr=1.44e-05 64s
epoch=154 train=0.12321 val=0.11532 IoU=0.8042 Dice=0.8914 P=0.885 R=0.898 lr=1.39e-05 64s
epoch=155 train=0.12273 val=0.11514 IoU=0.8043 Dice=0.8915 P=0.886 R=0.897 lr=1.33e-05 64s
epoch=156 train=0.12233 val=0.11506 IoU=0.8041 Dice=0.8914 P=0.886 R=0.897 lr=1.27e-05 64s
epoch=157 train=0.12199 val=0.11465 IoU=0.8045 Dice=0.8917 P=0.885 R=0.898 lr=1.22e-05 64s
epoch=158 train=0.12251 val=0.11473 IoU=0.8033 Dice=0.8910 P=0.883 R=0.899 lr=1.17e-05 64s
epoch=159 train=0.12126 val=0.11426 IoU=0.8048 Dice=0.8918 P=0.887 R=0.897 lr=1.11e-05 64s
epoch=160 train=0.12181 val=0.11404 IoU=0.8042 Dice=0.8915 P=0.882 R=0.901 lr=1.06e-05 64s
epoch=161 train=0.12093 val=0.11396 IoU=0.8033 Dice=0.8909 P=0.878 R=0.904 lr=1.01e-05 64s
epoch=162 train=0.12085 val=0.11392 IoU=0.8039 Dice=0.8913 P=0.885 R=0.898 lr=9.64e-06 64s
epoch=163 train=0.12034 val=0.11358 IoU=0.8045 Dice=0.8916 P=0.884 R=0.900 lr=9.16e-06 64s
epoch=164 train=0.12008 val=0.11335 IoU=0.8048 Dice=0.8919 P=0.884 R=0.899 lr=8.69e-06 64s
epoch=165 train=0.11980 val=0.11297 IoU=0.8056 Dice=0.8923 P=0.886 R=0.899 lr=8.23e-06 64s
epoch=166 train=0.11998 val=0.11313 IoU=0.8051 Dice=0.8920 P=0.887 R=0.898 lr=7.79e-06 64s
epoch=167 train=0.11922 val=0.11277 IoU=0.8060 Dice=0.8926 P=0.888 R=0.897 lr=7.35e-06 64s
epoch=168 train=0.11986 val=0.11250 IoU=0.8060 Dice=0.8926 P=0.886 R=0.899 lr=6.93e-06 64s
epoch=169 train=0.11936 val=0.11281 IoU=0.8049 Dice=0.8919 P=0.886 R=0.898 lr=6.52e-06 64s
epoch=170 train=0.11941 val=0.11257 IoU=0.8056 Dice=0.8923 P=0.886 R=0.899 lr=6.12e-06 64s
epoch=171 train=0.12011 val=0.11229 IoU=0.8060 Dice=0.8926 P=0.886 R=0.899 lr=5.73e-06 64s
epoch=172 train=0.11946 val=0.11216 IoU=0.8062 Dice=0.8927 P=0.887 R=0.899 lr=5.36e-06 64s
epoch=173 train=0.12026 val=0.11207 IoU=0.8064 Dice=0.8928 P=0.888 R=0.898 lr=5.00e-06 64s
epoch=174 train=0.11908 val=0.11194 IoU=0.8063 Dice=0.8928 P=0.887 R=0.899 lr=4.65e-06 64s
epoch=175 train=0.11944 val=0.11190 IoU=0.8062 Dice=0.8927 P=0.887 R=0.899 lr=4.31e-06 64s
epoch=176 train=0.11884 val=0.11171 IoU=0.8068 Dice=0.8931 P=0.889 R=0.897 lr=3.98e-06 64s
epoch=177 train=0.12047 val=0.11172 IoU=0.8063 Dice=0.8927 P=0.886 R=0.899 lr=3.67e-06 64s
epoch=178 train=0.11900 val=0.11159 IoU=0.8066 Dice=0.8930 P=0.887 R=0.899 lr=3.37e-06 64s
epoch=179 train=0.11794 val=0.11155 IoU=0.8067 Dice=0.8930 P=0.888 R=0.899 lr=3.08e-06 64s
epoch=180 train=0.11865 val=0.11159 IoU=0.8063 Dice=0.8928 P=0.886 R=0.900 lr=2.81e-06 64s
epoch=181 train=0.11794 val=0.11145 IoU=0.8067 Dice=0.8930 P=0.888 R=0.898 lr=2.54e-06 64s
epoch=182 train=0.11812 val=0.11146 IoU=0.8072 Dice=0.8933 P=0.890 R=0.897 lr=2.30e-06 64s
epoch=183 train=0.11874 val=0.11131 IoU=0.8066 Dice=0.8930 P=0.886 R=0.900 lr=2.06e-06 64s
epoch=184 train=0.11788 val=0.11133 IoU=0.8071 Dice=0.8932 P=0.888 R=0.898 lr=1.84e-06 64s
epoch=185 train=0.11800 val=0.11122 IoU=0.8070 Dice=0.8932 P=0.887 R=0.899 lr=1.63e-06 64s
epoch=186 train=0.11841 val=0.11122 IoU=0.8072 Dice=0.8933 P=0.889 R=0.898 lr=1.43e-06 64s
epoch=187 train=0.11883 val=0.11117 IoU=0.8072 Dice=0.8933 P=0.888 R=0.899 lr=1.25e-06 64s
epoch=188 train=0.11818 val=0.11120 IoU=0.8071 Dice=0.8933 P=0.888 R=0.899 lr=1.08e-06 64s
epoch=189 train=0.11768 val=0.11116 IoU=0.8072 Dice=0.8933 P=0.888 R=0.899 lr=9.24e-07 64s
epoch=190 train=0.11772 val=0.11118 IoU=0.8073 Dice=0.8934 P=0.889 R=0.898 lr=7.81e-07 64s
epoch=191 train=0.11924 val=0.11110 IoU=0.8071 Dice=0.8933 P=0.888 R=0.899 lr=6.52e-07 64s
epoch=192 train=0.11827 val=0.11107 IoU=0.8072 Dice=0.8933 P=0.888 R=0.899 lr=5.36e-07 64s
epoch=193 train=0.11809 val=0.11107 IoU=0.8072 Dice=0.8933 P=0.888 R=0.899 lr=4.34e-07 64s
epoch=194 train=0.11849 val=0.11107 IoU=0.8072 Dice=0.8933 P=0.888 R=0.899 lr=3.46e-07 64s
epoch=195 train=0.11811 val=0.11106 IoU=0.8073 Dice=0.8934 P=0.888 R=0.899 lr=2.71e-07 64s
epoch=196 train=0.11844 val=0.11106 IoU=0.8073 Dice=0.8934 P=0.888 R=0.898 lr=2.09e-07 64s
epoch=197 train=0.11731 val=0.11106 IoU=0.8072 Dice=0.8933 P=0.888 R=0.899 lr=1.61e-07 64s
epoch=198 train=0.11808 val=0.11107 IoU=0.8072 Dice=0.8933 P=0.888 R=0.899 lr=1.27e-07 64s
epoch=199 train=0.11827 val=0.11107 IoU=0.8072 Dice=0.8933 P=0.888 R=0.899 lr=1.07e-07 64s
epoch=200 train=0.11757 val=0.11108 IoU=0.8072 Dice=0.8933 P=0.888 R=0.899 lr=1.00e-07 64s
