M0 CompactMaxViT 9,489,043 parameters; global batch 8; start epoch 1
/hdd1/hukaixiao/projects/faultsyn3d/train/train_compact_maxvit_ddp.py:217: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  print(f'epoch={epoch:03d} step={step+1}/{len(dl)} loss={float(loss):.5f}',flush=True)
epoch=031 step=30/100 loss=0.16685
epoch=031 step=40/100 loss=0.15197
epoch=031 step=50/100 loss=0.18522
epoch=031 step=60/100 loss=0.11999
epoch=031 step=70/100 loss=0.13107
epoch=031 step=80/100 loss=0.09828
epoch=031 step=90/100 loss=0.12119
epoch=031 step=100/100 loss=0.09580
EPOCH 031/200: train=0.12430 val=0.10889 IoU=0.752057 P=0.8617 R=0.8553 83.1s peak=7814MiB
epoch=032 step=1/100 loss=0.08915
epoch=032 step=10/100 loss=0.09369
epoch=032 step=20/100 loss=0.13323
epoch=032 step=30/100 loss=0.08894
epoch=032 step=40/100 loss=0.12993
epoch=032 step=50/100 loss=0.08360
epoch=032 step=60/100 loss=0.12393
epoch=032 step=70/100 loss=0.08129
epoch=032 step=80/100 loss=0.15570
epoch=032 step=90/100 loss=0.10114
epoch=032 step=100/100 loss=0.12000
EPOCH 032/200: train=0.12264 val=0.10994 IoU=0.747791 P=0.8667 R=0.8450 83.1s peak=7814MiB
epoch=033 step=1/100 loss=0.13730
epoch=033 step=10/100 loss=0.13073
epoch=033 step=20/100 loss=0.13656
epoch=033 step=30/100 loss=0.08674
epoch=033 step=40/100 loss=0.14060
epoch=033 step=50/100 loss=0.10529
epoch=033 step=60/100 loss=0.13380
epoch=033 step=70/100 loss=0.08289
epoch=033 step=80/100 loss=0.10234
epoch=033 step=90/100 loss=0.11115
epoch=033 step=100/100 loss=0.10843
EPOCH 033/200: train=0.12360 val=0.10631 IoU=0.756128 P=0.8722 R=0.8503 83.2s peak=7814MiB
epoch=034 step=1/100 loss=0.15129
epoch=034 step=10/100 loss=0.07819
epoch=034 step=20/100 loss=0.06763
epoch=034 step=30/100 loss=0.10179
epoch=034 step=40/100 loss=0.10675
epoch=034 step=50/100 loss=0.14791
epoch=034 step=60/100 loss=0.11286
epoch=034 step=70/100 loss=0.09874
epoch=034 step=80/100 loss=0.13719
epoch=034 step=90/100 loss=0.24908
epoch=034 step=100/100 loss=0.08336
EPOCH 034/200: train=0.11993 val=0.10738 IoU=0.750338 P=0.8602 R=0.8546 83.2s peak=7814MiB
epoch=035 step=1/100 loss=0.13737
epoch=035 step=10/100 loss=0.13974
epoch=035 step=20/100 loss=0.12440
epoch=035 step=30/100 loss=0.10600
epoch=035 step=40/100 loss=0.09642
epoch=035 step=50/100 loss=0.13020
epoch=035 step=60/100 loss=0.11118
epoch=035 step=70/100 loss=0.11455
epoch=035 step=80/100 loss=0.05481
epoch=035 step=90/100 loss=0.12224
epoch=035 step=100/100 loss=0.12982
EPOCH 035/200: train=0.11598 val=0.10140 IoU=0.764185 P=0.8711 R=0.8616 83.3s peak=7814MiB
epoch=036 step=1/100 loss=0.08734
epoch=036 step=10/100 loss=0.11771
epoch=036 step=20/100 loss=0.16240
epoch=036 step=30/100 loss=0.16548
epoch=036 step=40/100 loss=0.07250
epoch=036 step=50/100 loss=0.21356
epoch=036 step=60/100 loss=0.12744
epoch=036 step=70/100 loss=0.11599
epoch=036 step=80/100 loss=0.12629
epoch=036 step=90/100 loss=0.13780
epoch=036 step=100/100 loss=0.13871
EPOCH 036/200: train=0.11737 val=0.10614 IoU=0.749749 P=0.8492 R=0.8649 83.2s peak=7814MiB
epoch=037 step=1/100 loss=0.11152
epoch=037 step=10/100 loss=0.12555
epoch=037 step=20/100 loss=0.09272
epoch=037 step=30/100 loss=0.07578
epoch=037 step=40/100 loss=0.09943
epoch=037 step=50/100 loss=0.12450
epoch=037 step=60/100 loss=0.12000
epoch=037 step=70/100 loss=0.14684
epoch=037 step=80/100 loss=0.13036
epoch=037 step=90/100 loss=0.14876
epoch=037 step=100/100 loss=0.12507
EPOCH 037/200: train=0.11427 val=0.10261 IoU=0.758005 P=0.8670 R=0.8578 83.2s peak=7814MiB
epoch=038 step=1/100 loss=0.12590
epoch=038 step=10/100 loss=0.14113
epoch=038 step=20/100 loss=0.13543
epoch=038 step=30/100 loss=0.09070
epoch=038 step=40/100 loss=0.11373
epoch=038 step=50/100 loss=0.11547
epoch=038 step=60/100 loss=0.23132
epoch=038 step=70/100 loss=0.13125
epoch=038 step=80/100 loss=0.15232
epoch=038 step=90/100 loss=0.08164
epoch=038 step=100/100 loss=0.12538
EPOCH 038/200: train=0.11107 val=0.09752 IoU=0.768901 P=0.8570 R=0.8820 83.2s peak=7814MiB
epoch=039 step=1/100 loss=0.09514
epoch=039 step=10/100 loss=0.19489
epoch=039 step=20/100 loss=0.08505
epoch=039 step=30/100 loss=0.10242
epoch=039 step=40/100 loss=0.11887
epoch=039 step=50/100 loss=0.07720
epoch=039 step=60/100 loss=0.12194
epoch=039 step=70/100 loss=0.12177
epoch=039 step=80/100 loss=0.11157
epoch=039 step=90/100 loss=0.18147
epoch=039 step=100/100 loss=0.07600
EPOCH 039/200: train=0.11276 val=0.09970 IoU=0.763748 P=0.8659 R=0.8662 83.5s peak=7814MiB
epoch=040 step=1/100 loss=0.08846
epoch=040 step=10/100 loss=0.16495
epoch=040 step=20/100 loss=0.12940
epoch=040 step=30/100 loss=0.11180
epoch=040 step=40/100 loss=0.08094
epoch=040 step=50/100 loss=0.13102
epoch=040 step=60/100 loss=0.11899
epoch=040 step=70/100 loss=0.10359
epoch=040 step=80/100 loss=0.13859
epoch=040 step=90/100 loss=0.09853
epoch=040 step=100/100 loss=0.06201
EPOCH 040/200: train=0.11101 val=0.09931 IoU=0.762532 P=0.8616 R=0.8690 83.6s peak=7814MiB
epoch=041 step=1/100 loss=0.08514
epoch=041 step=10/100 loss=0.05627
epoch=041 step=20/100 loss=0.08366
epoch=041 step=30/100 loss=0.08523
epoch=041 step=40/100 loss=0.05421
epoch=041 step=50/100 loss=0.10200
epoch=041 step=60/100 loss=0.10545
epoch=041 step=70/100 loss=0.15531
epoch=041 step=80/100 loss=0.11086
epoch=041 step=90/100 loss=0.10799
epoch=041 step=100/100 loss=0.11125
EPOCH 041/200: train=0.10862 val=0.09609 IoU=0.771095 P=0.8757 R=0.8659 84.2s peak=7814MiB
epoch=042 step=1/100 loss=0.09893
epoch=042 step=10/100 loss=0.06820
epoch=042 step=20/100 loss=0.12120
epoch=042 step=30/100 loss=0.19940
epoch=042 step=40/100 loss=0.12751
