epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
126,0.08947,0.08223,0.03265,0.07944,1.00,0.07507,0.8117,0.8960,0.9100,0.8825,3.31e-05,50,0.9035,0.7890,0.7974,0.8371,0.7011
127,0.08855,0.08143,0.03246,0.07764,1.00,0.07533,0.8101,0.8951,0.8994,0.8908,3.23e-05,51,0.9050,0.7897,0.7980,0.8382,0.6902
128,0.08933,0.08206,0.03277,0.08002,1.00,0.07561,0.8094,0.8947,0.8953,0.8941,3.15e-05,51,0.9035,0.7895,0.7985,0.8342,0.6923
129,0.08937,0.08210,0.03269,0.07996,1.00,0.07546,0.8101,0.8951,0.9043,0.8861,3.07e-05,51,0.9031,0.7907,0.7974,0.8363,0.6934
130,0.08672,0.07969,0.03167,0.07718,1.00,0.07478,0.8119,0.8962,0.9010,0.8914,3.00e-05,51,0.9013,0.7904,0.8000,0.8392,0.6983
131,0.08965,0.08233,0.03289,0.08052,1.00,0.07483,0.8116,0.8960,0.8958,0.8963,2.92e-05,50,0.9040,0.7901,0.7987,0.8370,0.6990
132,0.08852,0.08131,0.03224,0.07977,1.00,0.07496,0.8115,0.8959,0.9061,0.8860,2.85e-05,50,0.9037,0.7912,0.7984,0.8390,0.6946
133,0.08781,0.08075,0.03195,0.07731,1.00,0.07474,0.8117,0.8961,0.9026,0.8896,2.77e-05,50,0.9033,0.7919,0.7995,0.8360,0.6991
134,0.08752,0.08045,0.03173,0.07792,1.00,0.07432,0.8129,0.8968,0.9022,0.8914,2.70e-05,50,0.9045,0.7892,0.7995,0.8390,0.7021
135,0.08944,0.08216,0.03268,0.08026,1.00,0.07521,0.8106,0.8954,0.9059,0.8851,2.63e-05,51,0.9016,0.7903,0.7973,0.8362,0.6986
136,0.08705,0.07999,0.03153,0.07820,1.00,0.07509,0.8105,0.8953,0.9051,0.8858,2.56e-05,50,0.8978,0.7900,0.7975,0.8376,0.7004
137,0.08810,0.08098,0.03200,0.07846,1.00,0.07519,0.8102,0.8951,0.9006,0.8898,2.48e-05,50,0.8977,0.7910,0.7976,0.8354,0.7002
138,0.08690,0.07980,0.03155,0.07879,1.00,0.07400,0.8131,0.8969,0.8967,0.8971,2.41e-05,51,0.9029,0.7925,0.8006,0.8391,0.7014
139,0.08703,0.07998,0.03175,0.07762,1.00,0.07489,0.8105,0.8953,0.8917,0.8990,2.34e-05,50,0.9018,0.7902,0.7989,0.8351,0.6982
140,0.08779,0.08078,0.03219,0.07583,1.00,0.07422,0.8129,0.8968,0.8995,0.8942,2.27e-05,50,0.9031,0.7922,0.8006,0.8395,0.6995
141,0.08665,0.07961,0.03140,0.07804,1.00,0.07469,0.8117,0.8960,0.8948,0.8973,2.20e-05,50,0.9015,0.7927,0.8007,0.8381,0.6963
